SKU,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates
SKU0,Supplier 3,Mumbai,29,215,29,46.27987924,Pending,0.226410361
SKU1,Supplier 3,Mumbai,23,517,30,33.61676895,Pending,4.854068026
SKU2,Supplier 1,Mumbai,12,971,27,30.68801935,Pending,4.580592619
SKU3,Supplier 5,Kolkata,24,937,18,35.6247414,Fail,4.746648621
SKU4,Supplier 1,Delhi,5,414,3,92.0651606,Fail,3.145579523
SKU5,Supplier 4,Bangalore,10,104,17,56.76647556,Fail,2.779193512
SKU6,Supplier 3,Kolkata,14,314,24,1.08506857,Pending,1.000910619
SKU7,Supplier 4,Bangalore,22,564,1,99.4661086,Fail,0.398177187
SKU8,Supplier 4,Mumbai,13,769,8,11.42302714,Pending,2.709862691
SKU9,Supplier 2,Chennai,29,963,23,47.95760163,Pending,3.844614479
SKU10,Supplier 5,Kolkata,18,830,5,96.52735279,Pass,1.727313928
SKU11,Supplier 2,Kolkata,28,362,11,27.59236309,Pending,0.021169821
SKU12,Supplier 4,Kolkata,3,563,3,32.32128621,Fail,2.161253748
SKU13,Supplier 5,Bangalore,23,173,10,97.82905011,Pending,1.63107423
SKU14,Supplier 1,Kolkata,25,558,14,5.79143663,Pending,0.100682852
SKU15,Supplier 1,Bangalore,14,580,7,97.12128175,Pass,2.264405761
SKU16,Supplier 1,Bangalore,3,399,21,77.1063425,Pass,1.012563089
SKU17,Supplier 1,Chennai,7,453,16,47.67968037,Fail,0.102020755
SKU18,Supplier 2,Kolkata,18,374,17,27.10798085,Pending,2.231939111
SKU19,Supplier 4,Chennai,20,694,16,82.37332059,Fail,3.646450865
SKU20,Supplier 1,Chennai,29,309,6,65.68625961,Pass,4.231416574
SKU21,Supplier 5,Chennai,19,791,4,61.73572895,Pending,0.018607568
SKU22,Supplier 4,Kolkata,22,780,28,50.12083961,Fail,2.591275473
SKU23,Supplier 5,Kolkata,11,568,29,98.60995724,Pending,1.342291563
SKU24,Supplier 2,Bangalore,28,447,3,40.3823597,Pending,3.691310293
SKU25,Supplier 4,Kolkata,19,934,23,78.28038312,Pending,3.797231217
SKU26,Supplier 2,Bangalore,26,171,4,15.97222976,Pass,2.119319737
SKU27,Supplier 5,Mumbai,25,291,4,10.52824507,Fail,2.864667838
SKU28,Supplier 1,Mumbai,13,171,7,59.42938181,Fail,0.815757079
SKU29,Supplier 1,Kolkata,16,329,7,39.29287559,Pass,3.878098937
SKU30,Supplier 4,Kolkata,27,806,30,51.6348934,Pending,0.965394705
SKU31,Supplier 3,Chennai,24,461,8,60.25114566,Pending,2.989000007
SKU32,Supplier 3,Kolkata,30,737,7,29.69246715,Pass,1.946036119
SKU33,Supplier 5,Chennai,1,251,23,23.85342751,Fail,3.541046012
SKU34,Supplier 1,Chennai,4,452,10,10.75427282,Pass,0.646604559
SKU35,Supplier 1,Delhi,3,367,2,58.00478704,Pass,0.541154098
SKU36,Supplier 2,Delhi,26,671,19,45.53136424,Fail,3.805533379
SKU37,Supplier 3,Kolkata,24,867,15,34.34327747,Pending,2.610288085
SKU38,Supplier 5,Mumbai,10,841,12,5.930693646,Pending,0.613326899
SKU39,Supplier 2,Kolkata,30,791,6,9.005807429,Fail,1.451972204
SKU40,Supplier 1,Kolkata,18,793,1,88.1794071,Pending,4.213269431
SKU41,Supplier 4,Chennai,18,892,7,95.33206455,Fail,0.045302262
SKU42,Supplier 5,Bangalore,26,179,7,96.42282064,Fail,4.939255289
SKU43,Supplier 5,Mumbai,1,206,23,26.27736596,Pending,0.372304768
SKU44,Supplier 2,Delhi,7,834,18,22.55410662,Fail,2.96262632
SKU45,Supplier 2,Chennai,25,794,25,66.31254444,Pass,3.219604612
SKU46,Supplier 3,Chennai,18,870,23,77.32235321,Pending,3.648610593
SKU47,Supplier 1,Kolkata,10,964,20,19.71299291,Pending,0.380573587
SKU48,Supplier 2,Mumbai,9,109,18,23.12636358,Fail,1.698112541
SKU49,Supplier 5,Delhi,28,177,28,14.14781544,Pass,2.825813985
SKU50,Supplier 2,Delhi,20,306,21,45.17875792,Fail,4.754800805
SKU51,Supplier 5,Bangalore,18,673,28,14.19032834,Pending,1.772951172
SKU52,Supplier 1,Mumbai,10,727,27,9.166849149,Pending,2.122471619
SKU53,Supplier 1,Delhi,1,631,17,83.34405899,Pending,1.410347576
SKU54,Supplier 1,Kolkata,26,497,29,30.18602338,Pass,2.478771976
SKU55,Supplier 2,Delhi,27,918,5,30.32354526,Fail,4.548919659
SKU56,Supplier 1,Mumbai,24,826,28,12.83628457,Pass,1.173755495
SKU57,Supplier 2,Delhi,21,588,25,67.77962299,Pending,2.51117483
SKU58,Supplier 3,Delhi,18,396,7,65.04741509,Fail,1.73037472
SKU59,Supplier 1,Kolkata,11,176,4,1.900762244,Fail,0.447194015
SKU60,Supplier 4,Mumbai,29,929,24,87.21305782,Fail,2.853090617
SKU61,Supplier 4,Kolkata,14,480,12,78.70239397,Fail,4.367470538
SKU62,Supplier 2,Mumbai,13,751,14,21.04864273,Pass,1.874001404
SKU63,Supplier 3,Bangalore,18,736,10,20.07500398,Pending,3.63284329
SKU64,Supplier 1,Delhi,17,328,6,8.693042426,Fail,0.159486315
SKU65,Supplier 5,Kolkata,16,358,21,1.597222743,Fail,4.911095955
SKU66,Supplier 5,Kolkata,24,867,28,42.08443674,Fail,3.448063288
SKU67,Supplier 1,Mumbai,10,198,11,7.057876147,Pass,0.131955444
SKU68,Supplier 2,Bangalore,2,375,18,97.11358156,Fail,1.983467872
SKU69,Supplier 4,Kolkata,9,862,7,77.62776581,Pending,1.362387989
SKU70,Supplier 1,Bangalore,22,775,16,11.44078182,Pass,1.830575599
SKU71,Supplier 2,Bangalore,2,258,10,30.66167748,Pending,2.078750608
SKU72,Supplier 1,Bangalore,21,152,11,55.7604929,Pending,3.213329607
SKU73,Supplier 4,Chennai,13,444,4,46.8702388,Fail,4.620546065
SKU74,Supplier 4,Delhi,1,919,9,80.58085216,Fail,0.396612724
SKU75,Supplier 1,Chennai,25,759,11,48.06478264,Pass,2.030069089
SKU76,Supplier 2,Bangalore,25,985,24,64.3235978,Pending,2.180037452
SKU77,Supplier 1,Kolkata,26,334,5,42.95244475,Pass,3.055141818
SKU78,Supplier 5,Mumbai,25,858,21,71.12651472,Pending,4.096881332
SKU79,Supplier 3,Bangalore,5,228,12,57.87090292,Pending,0.165871627
SKU80,Supplier 3,Chennai,8,202,5,76.96122802,Fail,2.849662199
SKU81,Supplier 3,Delhi,28,698,1,19.78959294,Pending,2.547547122
SKU82,Supplier 2,Mumbai,6,955,26,4.465278435,Pending,4.137877049
SKU83,Supplier 1,Bangalore,20,443,5,97.7305938,Fail,0.773006134
SKU84,Supplier 5,Chennai,24,589,22,33.80863651,Pass,4.843456577
SKU85,Supplier 5,Chennai,4,211,2,69.92934552,Fail,1.374429
SKU86,Supplier 1,Mumbai,4,569,18,74.60897,Pass,2.051512931
SKU87,Supplier 3,Chennai,27,523,17,28.69699682,Fail,3.693737788
