SKU,Product type,Price,Availability,Stock levels
SKU0,haircare,69.80800554,55,58
SKU1,skincare,14.84352328,95,53
SKU2,haircare,11.31968329,34,1
SKU3,skincare,61.16334302,68,23
SKU4,skincare,4.805496036,26,5
SKU5,haircare,1.699976014,87,90
SKU6,skincare,4.078332863,48,11
SKU7,cosmetics,42.95838438,59,93
SKU8,cosmetics,68.71759675,78,5
SKU9,skincare,64.01573294,35,14
SKU10,skincare,15.70779568,11,51
SKU11,skincare,90.63545998,95,46
SKU12,haircare,71.21338908,41,100
SKU13,skincare,16.16039332,5,80
SKU14,skincare,99.17132864,26,54
SKU15,skincare,36.98924493,94,9
SKU16,skincare,7.54717211,74,2
SKU17,cosmetics,81.46253437,82,45
SKU18,haircare,36.44362777,23,10
SKU19,skincare,51.12387009,100,48
SKU20,skincare,96.34107244,22,27
SKU21,cosmetics,84.89386898,60,69
SKU22,haircare,27.67978089,55,71
SKU23,cosmetics,4.324341186,30,84
SKU24,haircare,4.156308359,32,4
SKU25,haircare,39.62934399,73,82
SKU26,haircare,97.44694662,9,59
SKU27,cosmetics,92.55736081,42,47
SKU28,cosmetics,2.397274706,12,48
SKU29,cosmetics,63.44755919,3,45
SKU30,haircare,8.022859211,10,60
SKU31,skincare,50.84739305,28,6
SKU32,skincare,79.20993602,43,89
SKU33,cosmetics,64.795435,63,4
SKU34,skincare,37.46759233,96,1
SKU35,cosmetics,84.95778682,11,42
SKU36,skincare,9.813002579,34,18
SKU37,skincare,23.39984475,5,25
SKU38,cosmetics,52.07593068,75,69
SKU39,skincare,19.12747727,26,78
SKU40,skincare,80.54142417,97,90
SKU41,skincare,99.11329162,35,64
SKU42,skincare,46.52916761,98,22
SKU43,haircare,11.74327178,6,36
SKU44,cosmetics,51.35579091,34,13
SKU45,haircare,33.78413803,1,93
SKU46,haircare,27.0822072,75,92
SKU47,skincare,95.71213588,93,4
SKU48,haircare,76.03554443,28,30
SKU49,cosmetics,78.89791321,19,97
SKU50,cosmetics,14.20348426,91,31
SKU51,haircare,26.70076097,61,100
SKU52,skincare,98.03182966,1,64
SKU53,skincare,30.34147071,93,96
SKU54,haircare,31.14624316,11,33
SKU55,haircare,79.85505834,16,97
SKU56,skincare,20.98638604,90,25
SKU57,haircare,49.26320535,65,5
SKU58,skincare,59.84156138,81,10
SKU59,cosmetics,63.82839835,30,100
SKU60,skincare,17.02802792,16,41
SKU61,haircare,52.0287499,23,32
SKU62,cosmetics,72.79635396,89,86
SKU63,skincare,13.01737679,55,54
SKU64,skincare,89.63409561,11,73
SKU65,skincare,33.69771721,72,57
SKU66,skincare,26.03486977,52,13
SKU67,skincare,87.75543235,16,12
SKU68,haircare,37.93181238,29,0
SKU69,skincare,54.86552852,62,95
SKU70,haircare,47.91454182,90,10
SKU71,cosmetics,6.381533163,14,76
SKU72,cosmetics,90.20442752,88,57
SKU73,cosmetics,83.85101768,41,17
SKU74,haircare,3.170011414,64,41
SKU75,skincare,92.99688423,29,16
SKU76,haircare,69.10879955,23,38
SKU77,haircare,57.44974296,14,96
SKU78,haircare,6.306883176,50,5
SKU79,haircare,57.05703122,56,31
SKU80,skincare,91.12831835,75,39
SKU81,haircare,72.81920693,9,48
SKU82,skincare,17.03493074,13,42
SKU83,haircare,68.91124621,82,65
SKU84,haircare,89.10436729,99,73
SKU85,cosmetics,76.96299442,83,15
SKU86,skincare,19.99817694,18,32
SKU87,haircare,80.41403665,24,5
SKU88,cosmetics,75.27040698,58,60
SKU89,cosmetics,97.76008558,10,90
SKU90,skincare,13.8819135,56,66
SKU91,cosmetics,62.11196546,90,98
SKU92,cosmetics,47.71423308,44,90
SKU93,haircare,69.290831,88,63
SKU94,cosmetics,3.037688725,97,77
SKU95,haircare,77.90392722,65,15
SKU96,cosmetics,24.42313142,29,67
SKU97,haircare,3.526111259,56,46
SKU98,skincare,19.75460487,43,53
SKU99,haircare,68.5178327,17,55
