SKU,Number of products sold,Revenue generated,Costs,Customer demographics
SKU0,802,8661.996792,187.7520755,Non-binary
SKU1,736,7460.900065,503.0655791,Female
SKU2,8,9577.749626,141.9202818,Unknown
SKU3,83,7766.836426,254.7761592,Non-binary
SKU4,871,2686.505152,923.4406317,Non-binary
SKU5,147,2828.348746,235.4612367,Non-binary
SKU6,65,7823.47656,134.3690969,Male
SKU7,426,8496.103813,802.0563118,Female
SKU8,150,7517.363211,505.5571342,Female
SKU9,980,4971.145988,995.9294615,Unknown
SKU10,996,2330.965802,806.1031777,Non-binary
SKU11,960,6099.944116,126.7230334,Female
SKU12,336,2873.741446,402.9687891,Unknown
SKU13,249,4052.738416,547.2410052,Male
SKU14,562,8653.570926,929.23529,Non-binary
SKU15,469,5442.086785,127.8618,Non-binary
SKU16,280,6453.797968,865.5257798,Female
SKU17,126,2629.396435,670.9343908,Female
SKU18,620,9364.673505,593.4802587,Unknown
SKU19,187,2553.495585,477.3076311,Unknown
SKU20,320,8128.027697,493.8712153,Unknown
SKU21,601,7087.052696,523.3609147,Unknown
SKU22,884,2390.807867,205.5719958,Unknown
SKU23,391,8858.367571,196.3294461,Unknown
SKU24,209,9049.077861,758.7247726,Male
SKU25,142,2174.777054,458.5359457,Male
SKU26,353,3716.493326,617.8669165,Male
SKU27,352,2686.457224,762.4591822,Unknown
SKU28,394,6117.324615,123.4370275,Female
SKU29,253,8318.903195,764.9353759,Female
SKU30,327,2766.342367,880.0809882,Male
SKU31,168,9655.135103,609.3792066,Male
SKU32,781,9571.550487,761.1739095,Unknown
SKU33,616,5149.99835,371.2552955,Non-binary
SKU34,602,9061.710896,510.3580004,Unknown
SKU35,449,6541.329345,553.4204712,Female
SKU36,963,7573.402458,403.8089742,Female
SKU37,963,2438.33993,183.932968,Female
SKU38,705,9692.31804,339.6728699,Non-binary
SKU39,176,1912.465663,653.6729946,Female
SKU40,933,5724.95935,529.808724,Female
SKU41,556,5521.205259,275.5243711,Female
SKU42,155,1839.609426,635.6571205,Female
SKU43,598,5737.425599,716.0441198,Unknown
SKU44,919,7152.286049,610.4532696,Female
SKU45,24,5267.956808,495.305697,Male
SKU46,859,2556.767361,380.4359371,Non-binary
SKU47,910,7089.47425,581.6023551,Male
SKU48,29,7397.071005,768.651914,Non-binary
SKU49,99,8001.613207,336.8901685,Unknown
SKU50,633,5910.88539,496.2486503,Female
SKU51,154,9866.465458,694.9823176,Male
SKU52,820,9435.762609,602.8984988,Male
SKU53,242,8232.334829,750.7378407,Male
SKU54,622,6088.02148,814.0699966,Non-binary
SKU55,701,2925.67517,323.012928,Male
SKU56,93,4767.020484,832.2108087,Non-binary
SKU57,227,1605.8669,482.1912386,Unknown
SKU58,896,2021.14981,110.3643352,Non-binary
SKU59,484,1061.618523,312.5742736,Non-binary
SKU60,380,8864.08435,430.169097,Female
SKU61,117,6885.589351,164.3665282,Unknown
SKU62,270,3899.746834,320.8465158,Unknown
SKU63,246,4256.949141,687.2861779,Non-binary
SKU64,134,8458.730878,771.2250847,Female
SKU65,457,8354.579686,555.8591037,Male
SKU66,704,8367.721618,393.8433486,Female
SKU67,513,9473.798033,169.2718014,Unknown
SKU68,163,3550.218433,299.7063031,Non-binary
SKU69,511,1752.381087,207.6632062,Non-binary
SKU70,32,7014.887987,183.2728987,Female
SKU71,637,8180.337085,405.1670679,Female
SKU72,478,2633.121981,677.9445698,Non-binary
SKU73,375,7910.886916,866.4728001,Male
SKU74,904,5709.945296,341.5526568,Female
SKU75,106,1889.07359,873.129648,Non-binary
SKU76,241,5328.375984,997.4134501,Male
SKU77,359,2483.760178,852.5680989,Unknown
SKU78,946,1292.458418,323.5922034,Unknown
SKU79,198,7888.723268,351.5042193,Non-binary
SKU80,872,8651.672683,787.7798505,Unknown
SKU81,774,4384.4134,276.7783359,Unknown
SKU82,336,2943.381868,589.9785556,Unknown
SKU83,663,2411.754632,682.9710182,Unknown
SKU84,618,2048.2901,465.457006,Unknown
SKU85,25,8684.613059,842.68683,Female
SKU86,223,1229.591029,264.2548898,Unknown
SKU87,79,5133.846701,879.3592177,Male
SKU88,737,9444.742033,103.916248,Male
SKU89,134,5924.682567,517.4999739,Unknown
SKU90,320,9592.63357,990.0784725,Non-binary
SKU91,916,1935.206794,996.778315,Male
SKU92,276,2100.129755,230.0927825,Male
SKU93,114,4531.402134,823.5238459,Unknown
SKU94,987,7888.356547,846.665257,Unknown
SKU95,672,7386.363944,778.8642414,Unknown
SKU96,324,7698.424766,188.7421411,Non-binary
SKU97,62,4370.91658,540.1324229,Male
SKU98,913,8525.95256,882.1988635,Female
SKU99,627,9185.185829,210.743009,Unknown
