SKU,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Transportation modes,Routes
SKU0,7,96,4,Carrier B,2.956572139,Road,Route B
SKU1,30,37,2,Carrier A,9.716574771,Road,Route B
SKU2,10,88,2,Carrier B,8.054479262,Air,Route C
SKU3,13,59,6,Carrier C,1.729568564,Rail,Route A
SKU4,3,56,8,Carrier A,3.890547916,Air,Route A
SKU5,27,66,3,Carrier B,4.444098864,Road,Route A
SKU6,15,58,8,Carrier C,3.880763303,Sea,Route A
SKU7,17,11,1,Carrier B,2.348338784,Road,Route C
SKU8,10,15,7,Carrier C,3.404733857,Sea,Route B
SKU9,27,83,1,Carrier A,7.166645291,Rail,Route B
SKU10,13,80,2,Carrier C,8.673211211,Road,Route B
SKU11,23,60,1,Carrier A,4.523943124,Air,Route A
SKU12,30,85,4,Carrier A,1.32527401,Road,Route B
SKU13,8,48,9,Carrier A,9.537283061,Road,Route B
SKU14,29,78,5,Carrier B,2.039770189,Air,Route B
SKU15,8,69,7,Carrier B,2.422039723,Sea,Route B
SKU16,5,78,1,Carrier B,4.191324586,Air,Route A
SKU17,17,85,9,Carrier C,3.585418958,Air,Route C
SKU18,10,46,8,Carrier C,4.339224714,Sea,Route A
SKU19,11,94,3,Carrier A,4.742635883,Road,Route C
SKU20,12,68,6,Carrier A,8.878334651,Air,Route B
SKU21,25,7,6,Carrier B,6.037883769,Air,Route C
SKU22,1,63,10,Carrier A,9.567648921,Rail,Route C
SKU23,5,29,7,Carrier A,2.924857601,Rail,Route A
SKU24,26,2,8,Carrier C,9.741291689,Air,Route A
SKU25,11,52,3,Carrier C,2.231073681,Road,Route B
SKU26,16,48,4,Carrier B,6.507548621,Rail,Route A
SKU27,9,62,8,Carrier C,7.406750953,Sea,Route B
SKU28,15,24,4,Carrier B,9.898140508,Air,Route A
SKU29,5,67,7,Carrier B,8.100973145,Road,Route B
SKU30,26,35,7,Carrier B,8.954528315,Road,Route C
SKU31,17,44,4,Carrier B,2.679660965,Rail,Route C
SKU32,13,64,4,Carrier C,6.599104901,Road,Route A
